时间段,因子名称,最小分位数超额年化收益率,最大分位数超额年化收益率,最小分位数换手率,最大分位数换手率,IC均值,IR值
全a 近10年,净利润与营业总收入之比,-8.03%,-3.00%,2.31%,1.42%,0.010,0.153
全a 近10年,心理线指标,-3.77%,-13.38%,24.94%,26.01%,-0.024,-0.329
全a 近10年,12日量变动速率指标,-0.03%,-24.09%,48.83%,46.47%,-0.046,-0.632
全a 近10年,6日成交金额的移动平均值,2.31%,-24.17%,6.56%,8.91%,-0.055,-0.506
全a 近10年,每股营业总收入TTM,-8.55%,-2.36%,2.18%,1.44%,0.010,0.184
全a 近10年,经营活动产生的现金流量净额与企业价值之比TTM,-9.84%,1.87%,2.43%,2.31%,0.019,0.327
全a 近10年,应付账款周转天数,0.06%,-3.84%,1.54%,1.68%,-0.006,-0.164
全a 近10年,销售净利率,-8.04%,-2.99%,2.32%,1.42%,0.010,0.153
全a 近10年,营业外收支利润净额/利润总额,-2.00%,-3.92%,2.08%,2.11%,-0.001,-0.022
全a 近10年,营业收入增长率,-8.75%,-3.44%,2.29%,1.90%,0.003,0.047
全a 近10年,净运营资本,-7.33%,-1.07%,2.20%,1.49%,0.013,0.299
全a 近10年,成交量的10日指数移动平均,0.76%,-18.76%,4.33%,6.48%,-0.043,-0.518
全a 近10年,成交量比率（Volume Ratio）,-4.59%,-13.06%,19.02%,19.84%,-0.030,-0.352
全a 近10年,5日平均换手率,6.22%,-30.37%,7.70%,9.84%,-0.062,-0.533
全a 近10年,意愿指标,-8.49%,-9.85%,15.78%,17.03%,-0.033,-0.346
全a 近10年,营业总收入TTM,-9.25%,-1.70%,3.01%,1.64%,0.018,0.222
全a 近10年,12日成交量的移动平均值,0.40%,-18.18%,3.86%,5.91%,-0.042,-0.498
全a 近10年,营业利润TTM,-9.99%,0.19%,2.83%,1.66%,0.023,0.288
全a 近10年,固定资产比率,-7.67%,-2.47%,1.66%,1.56%,0.004,0.080
全a 近10年,120日收益方差,0.59%,-17.52%,2.43%,3.67%,-0.043,-0.298
全a 近10年,应收账款周转天数,-3.07%,-2.12%,1.59%,1.65%,-0.007,-0.115
全a 近10年,经营活动现金流量净额TTM,-7.70%,-0.10%,2.52%,1.78%,0.017,0.250
全a 近10年,营业收入TTM,-9.08%,-1.76%,2.99%,1.64%,0.018,0.222
全a 近10年,20日成交金额的移动平均值,0.36%,-20.09%,3.32%,4.80%,-0.043,-0.370
全a 近10年,5日平均换手率与120日平均换手率,1.52%,-24.57%,12.09%,14.04%,-0.052,-0.606
